first_seen_at,module,version
2026-09-25T10:20:03.824426Z,github.com/samtherapy/awl,v0.6.15-0.20260724170231-a26ec72e90a3
2026-09-25T10:20:09.378937Z,github.com/KenShabby/run_plan_generator,v0.0.0-20260924223326-2d0aa08961eb
2026-09-25T10:20:18.943035Z,github.com/hypersequent/zen,v0.0.0-20260925095527-f3bf637cdaa4
2026-09-25T10:20:21.794571Z,github.com/samuel-esp/gokubedownscaler,v1.3.4-0.20260923191618-dad0f06265ab
2026-09-25T10:20:44.86645Z,github.com/5S4D1/Codeforces,v0.0.0-20260924203239-89678522cbd4
2026-09-25T10:20:46.397762Z,github.com/cfpb/hmda-platform,v1.30.1
2026-09-25T10:21:10.500282Z,github.com/yandex-cloud/go-sdk/v2,v2.178.0
2026-09-25T10:21:25.617962Z,github.com/1217950746/smile-theme,v0.0.0-20260922101749-5645c48765ee
2026-09-25T10:21:50.230937Z,github.com/pders01/dotlocal,v0.5.2-0.20260924214133-d762a2e18189
2026-09-25T10:22:18.754073Z,github.com/sanogueralorenzo/android-kotlin-clean-architecture,v0.0.0-20260925014313-e59c5f3794ff
2026-09-25T10:22:20.68411Z,github.com/simp-lee/obsite,v0.1.2
2026-09-25T10:22:56.06738Z,github.com/Leodido/structcli,v0.18.0
2026-09-25T10:22:57.485544Z,github.com/reymond-group/map4,v0.0.0-20210510123637-ea88e77605f7
2026-09-25T10:23:21.090076Z,github.com/ArborXR/blade-mdi,v0.0.0-20240410150407-cfed216cf050
2026-09-25T10:23:48.181226Z,github.com/rootdigit/sagapay-go-sdk,v1.0.1
2026-09-25T10:23:56.964214Z,github.com/yandex-cloud/go-sdk/services/dns,v0.0.99
2026-09-25T10:24:00.873943Z,github.com/ropensci/pdftools,v3.2.1+incompatible
2026-09-25T10:24:20.447065Z,gitverse.ru/shared/goja,v1.0.0-optimization.3
2026-09-25T10:24:20.71329Z,gitverse.ru/shared/xz,v0.5.17-optimization.2
2026-09-25T10:24:20.776766Z,github.com/xeipuuv/gojsonschema,v0.0.0-20180201202807-ad28024cfd43
2026-09-25T10:24:46.963262Z,github.com/sarv1926/notjustmacro,v0.0.0-20250518182442-128f12dc3674
2026-09-25T10:24:50.571927Z,github.com/michaelbromley/ngx-pagination,v3.0.1+incompatible
2026-09-25T10:24:55.037658Z,github.com/yandex-cloud/go-sdk,v0.37.0
2026-09-25T10:25:39.491323Z,github.com/interledger/open-payments-go,v0.4.0
2026-09-25T10:25:53.075077Z,github.com/luno/lu,v0.0.0-20260925095954-9032eb0db99f
2026-09-25T10:27:17.178828Z,github.com/tmc/axmcp,v0.3.0
2026-09-25T10:27:49.638054Z,github.com/turoyt/snowshare,v1.5.4
2026-09-25T10:28:06.769868Z,github.com/nweber23/dbtote,v0.2.0
2026-09-25T10:28:11.787543Z,github.com/sap/sqlalchemy-hana,v4.6.2-0.20260925074414-366a72049f87+incompatible
2026-09-25T10:28:23.646906Z,github.com/sanvendev/weaver-dlt-interoperability/common/protos-go,v1.5.2-alpha.0.20240806083910-d129b24fbd0e
2026-09-25T10:29:04.857676Z,github.com/chagel/metis,v0.2.2
2026-09-25T10:29:09.205102Z,k8s.io/apiMAChinery,v0.37.1
2026-09-25T10:29:10.750101Z,github.com/sap-samples/btp-developer-guide-cap,v0.0.0-20260924094102-585c8c328e06
2026-09-25T10:29:27.958349Z,github.com/sanyam-g/airpipe,v1.1.1-0.20260829165428-9fb52979c39d
2026-09-25T10:30:10.883908Z,github.com/R3Kapig/Writeup,v0.0.0-20250304001947-619a9df412a9
2026-09-25T10:30:30.587475Z,github.com/Perruer/unclick,v1.0.0
2026-09-25T10:30:32.784734Z,github.com/haakco/mcp-kit,v0.5.14-0.20260925102941-07980ed9c9da
2026-09-25T10:30:43.003203Z,github.com/GoogleContainerTools/kpt-functions-catalog/tests/e2etest,v0.0.0-20260925083835-5074cc7dd825
2026-09-25T10:30:44.325609Z,github.com/perruer/unclick,v1.0.0
