first_seen_at,module,version
2026-09-25T11:20:21.900701Z,github.com/highflame-ai/zeroid,v1.9.4
2026-09-25T11:20:22.309293Z,github.com/twada/power-assert-formatter,v1.4.1
2026-09-25T11:20:28.671517Z,github.com/erikwang2013/industrial-protocols-go/protocols/fieldbus/foundationfieldbus,v1.1.3
2026-09-25T11:20:32.053318Z,github.com/gulp-community/gulp-pug,v5.0.0+incompatible
2026-09-25T11:20:35.057211Z,github.com/highflame-ai/zeroid/pkg/dpop,v1.9.4
2026-09-25T11:20:37.07708Z,github.com/highflame-ai/zeroid/pkg/authjwt,v1.9.4
2026-09-25T11:20:37.593915Z,github.com/accelerated-text/awesome-nlg,v0.0.0-20260922073437-80e5f2d96e98
2026-09-25T11:20:45.53843Z,github.com/highflame-ai/zeroid/pkg/jwks,v1.9.4
2026-09-25T11:20:51.710085Z,github.com/erikwang2013/industrial-protocols-go/protocols/fieldbus/hart,v1.1.3
2026-09-25T11:21:04.853008Z,github.com/lunarway/shuttle,v0.25.1
2026-09-25T11:21:11.564129Z,github.com/jamen/gulp-pug,v5.0.0+incompatible
2026-09-25T11:21:18.358038Z,github.com/erikwang2013/industrial-protocols-go/protocols/fieldbus/iolink,v1.1.3
2026-09-25T11:21:19.044859Z,github.com/openSUSE/rpmlint-security-whitelistings,v0.0.0-20201008123956-51854a14de5a
2026-09-25T11:21:20.311889Z,github.com/openSUSE/polkit-default-privs,v0.0.0-20260825133908-76d85e6da498
2026-09-25T11:21:30.480464Z,github.com/nephio-project/porch/api,v1.0.2
2026-09-25T11:21:31.276713Z,github.com/accounting-sh/python_sdk,v0.0.0-20260924170035-6d7fbd7c9357
2026-09-25T11:21:40.69229Z,github.com/erikwang2013/industrial-protocols-go/protocols/fieldbus/profibus,v1.1.3
2026-09-25T11:21:47.376134Z,github.com/altshiftab/authentication_go,v1.12.0
2026-09-25T11:22:06.693849Z,github.com/michaelrhodes/raf,v0.0.1
2026-09-25T11:22:09.187314Z,github.com/michaelrhodes/rafl,v0.0.1
2026-09-25T11:22:26.88902Z,github.com/erikwang2013/industrial-protocols-go/protocols/iot/hartip,v1.1.3
2026-09-25T11:22:27.081908Z,github.com/elnerd/asnlookup,v0.0.2-0.20260925111323-811af575dac3
2026-09-25T11:22:27.922507Z,github.com/kong/deck,v1.67.0
2026-09-25T11:22:29.508862Z,github.com/formancehq/ledger/pkg/client,v0.0.0-20260925081920-14405878fc8c
2026-09-25T11:22:38.692218Z,github.com/SatGate-io/satgate,v0.4.1-0.20260212232142-9c8ff3387ddc
2026-09-25T11:22:46.539004Z,github.com/sashabaranov/go-openai,v1.42.2-0.20260922162632-e0289b36c961
2026-09-25T11:22:55.870256Z,github.com/GeiserX/genieacs-container,v0.0.0-20260701175927-bb066c54c90b
2026-09-25T11:22:56.714058Z,github.com/genieacs/genieacs,v1.2.16
2026-09-25T11:22:59.367608Z,github.com/erikwang2013/industrial-protocols-go/protocols/system/cpci,v1.1.3
2026-09-25T11:23:01.842899Z,github.com/lirantal/daloradius,v0.0.0-20260920164544-0314ef0ddbb7
2026-09-25T11:23:05.794435Z,github.com/tendenci/tendenci-dockerized,v0.0.0-20260609215444-da49a62a7e23
