first_seen_at,module,version
2026-09-25T05:20:18.976021Z,github.com/pest-pArseR/PESt,v2.0.2-meta+incompatible
2026-09-25T05:20:35.027514Z,github.com/RoboStack/jupyter-ros,v0.0.0-20231214125132-0596d3008ea4
2026-09-25T05:20:37.593752Z,github.com/Robot-nan/watermill-rocketmq-aliyun,v1.0.1-0.20211025074311-015b985258f9
2026-09-25T05:20:39.568294Z,github.com/KoukeNeko/moodle-cli,v0.1.0
2026-09-25T05:20:41.29084Z,github.com/robintail/express-zod-api,v24.3.3-0.20260924095344-d4a9fde9000c+incompatible
2026-09-25T05:20:49.220969Z,github.com/robotAstray/ComputationalQuantumMechanicsGo,v0.0.0-20211023203344-8cf9a2c92499
2026-09-25T05:20:54.354189Z,gitea.narnian.us/lordwelch/comic-hasher,v0.0.0-20260923195543-5b2669099465
2026-09-25T05:20:55.241751Z,github.com/robotframework/RIDE,v2.0.8-0.20240514130238-c38cec8078cf+incompatible
2026-09-25T05:21:01.85978Z,github.com/robotics-kid/gophMy,v1.5.1-0.20211127132447-69d83d0372c5
2026-09-25T05:21:04.999063Z,github.com/ROBOTIS-GIT/turtlebot3,v0.0.0-20250416000426-eb6383e80f30
2026-09-25T05:21:15.760977Z,github.com/RoboSats/robosats,v0.8.4-alpha.0.20260222172245-dc98a8e68cbe
2026-09-25T05:21:18.356417Z,github.com/RobotLocomotion/drake,v0.0.0-20260417154433-a174ad11f769
2026-09-25T05:21:24.011253Z,github.com/RudrenduPaul/TenantGuard,v0.2.0
2026-09-25T05:21:24.595326Z,github.com/tapjs/tcompare,v1.1.2
2026-09-25T05:21:26.92187Z,github.com/RobinTail/zod-sockets,v7.0.2-0.20260923062347-b12fc2685f01+incompatible
2026-09-25T05:21:40.031146Z,github.com/RobLoach/raylib-cpp,v6.0.4-0.20260921161731-1d46653ceba1+incompatible
2026-09-25T05:21:50.403883Z,github.com/trendyol/go-elasticsearch-connect-couchbase,v1.3.7
2026-09-25T05:22:15.912862Z,github.com/openshift/containernetworking-plugins,v0.0.0-20260607043329-b37e7f891eef
2026-09-25T05:22:32.179198Z,github.com/RobotLocomotion/drake-ci,v0.0.0-20260911141740-247707c79ec4
2026-09-25T05:22:45.753764Z,github.com/robotools/fontMath,v0.0.0-20231010114400-8325a8f1d612
2026-09-25T05:22:46.700545Z,github.com/robloach/raylib-cpp,v6.0.4-0.20260921161731-1d46653ceba1+incompatible
2026-09-25T05:22:57.294956Z,github.com/openshift/cloud-provider-azure,v0.7.5-0.20260622085928-a3ebdc0ff701
2026-09-25T05:23:06.277627Z,github.com/robbrazier/svelte-awesome,v3.3.6-0.20250120080711-e55b68a41b17+incompatible
2026-09-25T05:23:35.307718Z,github.com/openconfig/kne,v0.3.2-0.20260731155016-7c8a5eda96e4
2026-09-25T05:23:54.952531Z,github.com/RobotWebTools/ros3djs,v0.0.0-20211108202306-6270cdfc26da
2026-09-25T05:24:07.997177Z,github.com/Freeaqingme/dkim,v0.0.0-20150301120808-6fe4a7ee9cfb
2026-09-25T05:24:18.280276Z,github.com/RobotWebTools/rosbridge_suite,v0.0.0-20150225052943-e7464aaad2dc
2026-09-25T05:24:24.658626Z,github.com/robintail/zod-sockets,v7.0.2-0.20260923062347-b12fc2685f01+incompatible
2026-09-25T05:24:36.215929Z,github.com/tracyhatemice/traefik-modsecurity-plugin,v1.17.0
2026-09-25T05:24:49.845936Z,github.com/RobotWebTools/web_video_server,v0.0.0-20251212215215-7deefe448726
2026-09-25T05:24:54.634935Z,github.com/RobRoyd/dds,v0.0.0-20221227143548-a8986c51c230
2026-09-25T05:25:44.77111Z,github.com/milon27/react-stripe-js-lib,v0.0.0-20230313195512-756288ca4d3c
2026-09-25T05:26:32.343531Z,github.com/vojtechkral/bard,v2.0.1+incompatible
2026-09-25T05:27:11.625214Z,github.com/commitsar-app/commitsar,v0.1.3-0.20190816130232-bc6c2cb86762
2026-09-25T05:27:40.020388Z,github.com/mcandre/todolint,v0.0.10
2026-09-25T05:27:41.709745Z,github.com/robosats/robosats,v0.8.7-alpha.0.20260923142126-0ed02bb874f9
2026-09-25T05:28:04.472898Z,github.com/dobbo-ca/webp-go,v0.0.0-20260925051403-9731d638368a
2026-09-25T05:28:14.595404Z,github.com/diarkis/diarkis-server-template,v0.0.0-20260925045843-bd06ef76cb92
2026-09-25T05:28:42.614307Z,github.com/pEST-paRsER/PEST,v2.9.3-0.20260924151707-c32c2dabfdec+incompatible
2026-09-25T05:29:05.481512Z,github.com/openshift/network-metrics-daemon,v0.0.0-20260924180611-f2abba74f88b
2026-09-25T05:29:13.935924Z,github.com/kmatsoukas/ipradix,v1.0.0
2026-09-25T05:29:17.823438Z,github.com/clickhouse/clickhouse-odbc,v0.0.0-20260924183652-eb0fdb2654b3
2026-09-25T05:29:48.855412Z,github.com/ws117z5/mmh3,v1.0.1
2026-09-25T05:29:57.205086Z,github.com/jdxcode/go-netrc,v0.0.0-20140422174119-9fd32a8b3d3d
2026-09-25T05:31:01.547172Z,github.com/Anthropics/claude-code,v2.1.282+incompatible
2026-09-25T05:31:10.079574Z,github.com/nanohype/nanohype,v0.0.0-20260925012029-d7ba03fa8c9e
2026-09-25T05:31:24.272825Z,github.com/ataca-io/wagon,v0.1.0
2026-09-25T05:32:21.858416Z,github.com/kintone/js-sdk,v0.0.0-20260925043508-f4a53a163ef2
2026-09-25T05:33:16.095673Z,github.com/mackyle/xar,v0.0.0-20140614160825-66d451dab1ef
2026-09-25T05:33:33.761641Z,github.com/Anthropics/anthropic-cookbook,v0.0.0-20260924181910-813fbeec03cd
2026-09-25T05:34:18.77877Z,github.com/codestation/go-guerrilla,v0.0.0-20190331145559-b860b81baef5
2026-09-25T05:34:43.707356Z,github.com/GabeCordo/cluster-tools,v0.9.1
2026-09-25T05:34:55.22421Z,github.com/alecthomas/kong,v0.0.0-20250421030203-f0b321097eed
2026-09-25T05:35:14.741509Z,github.com/gabecordo/cluster-tools,v0.9.1
2026-09-25T05:35:17.154769Z,github.com/dustlinux/tinydb/client-go,v0.0.0-20260925052207-80383a66c7ef
2026-09-25T05:35:33.209149Z,github.com/HashiCorp/terraform,v1.16.4
2026-09-25T05:36:13.21351Z,github.com/dustlinux/tinydb,v0.0.0-20260925052207-80383a66c7ef
2026-09-25T05:36:48.616464Z,forge.cadoles.com/cadoles/go-http-peering,v0.0.0-20260918082548-937970872c26
2026-09-25T05:37:10.21364Z,github.com/anam-org/javascript-sdk,v4.27.1+incompatible
2026-09-25T05:37:30.874852Z,github.com/rix4uni/garudrecon,v0.1.3-0.20260328032239-0724a5a143cb
2026-09-25T05:38:04.704368Z,github.com/KhronosGroup/SPIRV-Reflect,v1.0.1-0.20260921180818-0863a7a7ec76
2026-09-25T05:38:12.120089Z,github.com/zeux/meshoptimizer,v1.1.2-0.20260925003049-3d79872801b9
2026-09-25T05:38:20.523432Z,github.com/spnda/fastgltf,v0.9.1-0.20260831171254-f89e438230b6
2026-09-25T05:38:27.208088Z,github.com/syoyo/tinyexr,v3.2.1-0.20260907145252-644148d0fd6b+incompatible
2026-09-25T05:38:34.909513Z,github.com/epezent/implot,v0.0.0-20260924190852-09e2ba71766e
2026-09-25T05:38:36.150862Z,github.com/brenocq/implot3d,v0.0.0-20260924190522-5c6b11e734b3
2026-09-25T05:38:50.720166Z,github.com/peSt-PArser/PEST,v2.9.3-0.20260924151707-c32c2dabfdec+incompatible
2026-09-25T05:39:20.756809Z,github.com/jaredtrent/jellyfin-mcp,v0.0.0-20260925040350-35a437e8550f
2026-09-25T05:39:27.481793Z,goark.dev/openapi,v0.0.0-20260925051819-16f629acef2b
2026-09-25T05:39:44.342128Z,github.com/helpers/handlebars-helpers,v0.5.8
2026-09-25T05:39:49.225986Z,github.com/nfrechette/rtm,v2.3.1-0.20260623115503-d046447cfa67+incompatible
2026-09-25T05:39:49.636887Z,github.com/gabime/spdlog,v1.17.1-0.20260923215001-24e244e4ab6b
2026-09-25T05:39:49.960603Z,github.com/marzer/tomlplusplus,v3.4.1-0.20260721093907-1e8829b793b6+incompatible
2026-09-25T05:39:53.364563Z,github.com/nfrechette/acl,v2.1.1-0.20250913110034-3ee568542eca+incompatible
2026-09-25T05:39:58.480653Z,github.com/cpm-cmake/CPM.cmake,v0.43.2
2026-09-25T05:40:01.16322Z,github.com/ValveSoftware/GameNetworkingSockets,v1.6.1-0.20260826191212-a424b7db6494
2026-09-25T05:40:12.480793Z,github.com/wolfpld/tracy,v0.14.2-0.20260924202153-0913edf7be17
2026-09-25T05:40:18.77724Z,github.com/simdjson/simdjson,v4.6.2-0.20260924192034-b04be0e7337e+incompatible
2026-09-25T05:40:19.328684Z,github.com/catchorg/catch2,v3.16.1-0.20260914120828-02f8b5593a15+incompatible
2026-09-25T05:40:39.745289Z,github.com/microsoft/msquic,v2.6.0-rc.0.20260923230539-9262a4a17a97+incompatible
2026-09-25T05:41:14.239548Z,github.com/DocHoax/watchdog,v1.0.0
2026-09-25T05:41:26.812276Z,github.com/dochoax/watchdog,v1.0.0
2026-09-25T05:41:48.201406Z,github.com/mrcjkb/vimcats,v1.2.0
2026-09-25T05:42:25.523558Z,github.com/valvesoftware/gamenetworkingsockets,v1.6.1-0.20260826191212-a424b7db6494
2026-09-25T05:43:09.124449Z,github.com/diarkis/diarkis-server-template/examples/room/lod,v0.0.0-20260925045843-bd06ef76cb92
2026-09-25T05:43:38.305514Z,github.com/Alexxit/go2rtc,v1.9.14
2026-09-25T05:43:38.936988Z,github.com/go-krb5/x,v0.3.4-0.20260925053537-ba8868de6a75
2026-09-25T05:43:42.243312Z,github.com/apollographql/federation-rs,v0.0.0-20260924175121-7adb6442956f
2026-09-25T05:43:52.848994Z,github.com/harvester/go-common,v0.0.0-20260925053534-409079ed0e8a
2026-09-25T05:44:16.103585Z,github.com/erincatto/box3d,v0.1.1-0.20260925041619-adec25b3010b
2026-09-25T05:44:34.488478Z,github.com/Boa-dEv/bOa,v0.9.1-0.20260920001359-39cd11214ecb
2026-09-25T05:44:43.08836Z,github.com/bare-metal-cloud/runner-contracts,v0.0.0-20260925053352-c9745e4a8ff5
2026-09-25T05:44:43.557424Z,github.com/danpawlik/telemetry-operator/api,v0.0.0-20260925053746-fcf807064162
2026-09-25T05:44:55.179217Z,github.com/SWE-bench/SWE-bench.github.io,v0.0.0-20260901025356-f69263e10577
2026-09-25T05:45:08.130728Z,github.com/JoeanAmier/TikTokDownloader,v0.0.0-20260922134912-bbfeb5103c07
2026-09-25T05:45:08.937474Z,github.com/goliatone/mdoc,v0.1.0
2026-09-25T05:45:09.039915Z,github.com/mcwhittemore/open-api,v0.1.1
2026-09-25T05:45:12.869484Z,github.com/boa-DeV/BoA,v0.9.1-0.20260920001359-39cd11214ecb
2026-09-25T05:45:16.819408Z,github.com/swe-bench/SWE-bench,v0.0.0-20260902015100-4e9781756701
2026-09-25T05:45:16.985942Z,github.com/wearefractal/react-responsive,v10.0.1+incompatible
2026-09-25T05:45:43.036135Z,github.com/otuschhoff/cwalk,v1.0.1
2026-09-25T05:46:16.729979Z,github.com/hexojs/front-matter,v5.0.0+incompatible
