first_seen_at,module,version
2026-09-25T12:19:18.968471Z,github.com/secDre4mer/go-parseflags,v0.0.0-20260925114105-938b844706da
2026-09-25T12:19:21.231383Z,github.com/SchwarzEM/ems_perl,v0.0.0-20260715195013-b128a9db956b
2026-09-25T12:19:24.893945Z,github.com/archtechx/jobpipeline,v0.0.0-20260318165056-07dc54a49cf9
2026-09-25T12:19:29.277777Z,github.com/SchweizerischeBundesbahnen/openshift-monitoring,v1.4.3-0.20190509162825-a1469983ac6a
2026-09-25T12:19:30.226958Z,github.com/SchweizerischeBundesbahnen/huaweicloud-sdk-go,v1.0.20-0.20191219081549-53617a3b9415
2026-09-25T12:19:39.053198Z,github.com/radis/radis,v0.0.0-20260924142118-c5917e611ad6
2026-09-25T12:19:44.080593Z,github.com/ScienceObjectsDB/CORE-API-Gateway,v0.3.0-alpha.1.0.20220920102400-d4ec3e73f1f9
2026-09-25T12:19:46.639053Z,github.com/SciDAVis/scidavis,v0.0.0-20240204220600-1fde84a8fffb
2026-09-25T12:19:48.67052Z,github.com/ScienceSoft-Inc/k8s-container-integrity-monitor,v0.0.0-20220729080151-754643735311
2026-09-25T12:19:53.699862Z,github.com/scikit-HEP/hepunits,v2.4.6-0.20260421055335-71974403a247+incompatible
2026-09-25T12:20:05.192946Z,github.com/scikit-learn-contrib/MAPIE,v1.1.1-0.20250925144810-2b198962f243
2026-09-25T12:20:14.347512Z,github.com/blacklanternsecurity/manspider,v0.0.0-20260924213757-9547fbe8c517
2026-09-25T12:20:20.715866Z,github.com/kartikrocks/sqlguard/parsers/pgparser,v0.5.0
2026-09-25T12:20:30.623979Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/kubectl,v0.0.0-20260718145927-fdccdc5b4028
2026-09-25T12:20:32.100455Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/cli-runtime,v0.0.0-20260715142720-727710c459cb
2026-09-25T12:20:32.826849Z,github.com/dayou-z/spatial_dlpfc,v0.0.0-20260527004736-f31be3137d75
2026-09-25T12:20:37.223601Z,github.com/Scille/umongo,v2.3.1-0.20201005092134-207a6b379d25+incompatible
2026-09-25T12:20:39.500114Z,github.com/rucdonglab/stagate,v0.0.0-20230428034903-48ce7f874c83
2026-09-25T12:20:39.721134Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/apimachinery,v0.0.0-20260715142720-727710c459cb
2026-09-25T12:20:44.120517Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/api,v0.0.0-20260715142720-727710c459cb
2026-09-25T12:20:45.700532Z,github.com/yisiluo/stinr,v0.0.0-20250326080117-432a4d222f7d
2026-09-25T12:20:50.199495Z,github.com/Scille/parsec-cloud,v3.0.0-alpha.0.20260428101451-f4aaf6fa6c50+incompatible
2026-09-25T12:20:51.938288Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/client-go,v0.0.0-20260718145927-fdccdc5b4028
2026-09-25T12:20:53.24737Z,github.com/SciML/DiffEqFlux.jl,v4.11.1-0.20260907142850-dcf6193fc275+incompatible
2026-09-25T12:20:54.76299Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/dynamic-resource-allocation,v0.0.0-20260718145927-fdccdc5b4028
2026-09-25T12:20:54.815004Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/component-base,v0.0.0-20260718145927-fdccdc5b4028
2026-09-25T12:20:54.878246Z,github.com/SciML/DifferentialEquations.jl,v6.17.2-0.20210528101036-ea2cd751e073+incompatible
2026-09-25T12:21:00.373189Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/apiserver,v0.0.0-20260718145927-fdccdc5b4028
2026-09-25T12:21:01.20978Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/kubelet,v0.0.0-20260715142720-727710c459cb
2026-09-25T12:21:03.001783Z,github.com/SchSeba/kubernetes,v1.16.0-alpha.0.0.20260718145927-fdccdc5b4028
2026-09-25T12:21:06.315773Z,github.com/SciML/Optimization.jl,v5.9.1-0.20260828075940-c2d6a1d45e92+incompatible
2026-09-25T12:21:10.090715Z,github.com/SchSeba/kubernetes/staging/src/k8s.io/apiextensions-apiserver,v0.0.0-20260715142720-727710c459cb
2026-09-25T12:21:32.80809Z,github.com/scalytics/euosint,v1.9.4-0.20260921170022-616ddce29e9c
2026-09-25T12:22:23.308364Z,github.com/deckhouse/delivery-kit/v3,v3.6.0-dk.1
2026-09-25T12:22:24.088876Z,github.com/adynascimento/deep-learning,v1.7.1
2026-09-25T12:22:26.755052Z,github.com/druzn3k/go-comic-converter/v3,v3.0.1
2026-09-25T12:22:28.586311Z,github.com/HookbaseApp/hookbase-go,v1.7.0
2026-09-25T12:22:32.231915Z,github.com/doctrine/annotations,v1.8.1-0.20200401105629-3b95eb9761ef
2026-09-25T12:22:40.234244Z,github.com/SSNamahsos/Mihani-Code,v0.3.0
2026-09-25T12:22:41.320346Z,github.com/SciML/PreallocationTools.jl,v1.5.1-0.20260814143429-646cf07983dc
2026-09-25T12:22:44.461883Z,github.com/Sciml/RecursiveArrayTools.jl,v4.3.3-0.20260712212359-eaa2c50679fc+incompatible
2026-09-25T12:23:13.588988Z,github.com/nakagami/firebirdsql,v0.0.0-20260917015005-ffa7c38c1501
2026-09-25T12:23:22.636268Z,github.com/SciML/SciMLStyle,v0.0.0-20260104125250-52d1eeb678ad
2026-09-25T12:23:30.732416Z,github.com/SciML/SymbolicIndexingInterface.jl,v0.3.56-0.20260827105432-410d09309d6c
2026-09-25T12:23:32.1014Z,github.com/SciML/SciMLBenchmarks.jl,v0.2.2-0.20260907123221-7fa0492f4b83
2026-09-25T12:23:34.226112Z,github.com/intel/goresctrl,v0.14.0
2026-09-25T12:23:51.800502Z,github.com/SciPhi-AI/R2R-Dashboard,v0.0.0-20240710154756-598076b6b96d
2026-09-25T12:24:02.524167Z,github.com/scille/umongo,v2.3.1-0.20260901074330-5ee79315d096+incompatible
2026-09-25T12:24:04.277651Z,github.com/scikit-hep/hepunits,v2.4.7-0.20260921202713-b5360d04ced1+incompatible
2026-09-25T12:24:07.382633Z,github.com/SciSharp/BotSharp,v0.0.0-20230918184149-3df0565a631e
2026-09-25T12:24:12.784539Z,github.com/hookbaseapp/hookbase-go,v1.7.0
2026-09-25T12:24:19.406993Z,github.com/sciml/differentialequations.jl,v8.1.2-0.20260911224624-97fcc57657f5+incompatible
2026-09-25T12:24:21.234073Z,github.com/scille/parsec-cloud,v3.10.0-rc.1+incompatible
2026-09-25T12:24:24.483065Z,github.com/sciml/diffeqflux.jl,v4.11.1-0.20260925013052-62152eb3b4ef+incompatible
2026-09-25T12:24:33.929173Z,github.com/hushaudio/rss-parser,v3.12.0+incompatible
2026-09-25T12:24:36.811671Z,github.com/Aeneaj/qobuz-dl-go,v1.6.0
2026-09-25T12:25:07.77145Z,github.com/dedis/matchertext/dev/tree-sitter,v0.0.0-20260922091249-b4a078c8df88
2026-09-25T12:25:21.468954Z,github.com/aeneaj/qobuz-dl-go,v1.6.0
2026-09-25T12:25:24.385191Z,github.com/mozilla/vtt.js,v0.13.0
2026-09-25T12:25:25.93177Z,github.com/sciml/scimlbase.jl,v3.56.0+incompatible
2026-09-25T12:25:26.03117Z,github.com/sciml/recursivearraytools.jl,v4.5.2+incompatible
2026-09-25T12:25:34.467355Z,github.com/aeoess/agent-passport-system,v7.2.0+incompatible
2026-09-25T12:25:40.076514Z,github.com/sciml/optimization.jl,v5.9.2-0.20260923202601-bf6d75a976da+incompatible
