first_seen_at,module,version
2026-09-26T07:19:35.249861Z,github.com/dokku/dokku/plugins/ps,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:19:35.466442Z,github.com/desktop-app/tg_owt,v0.0.0-20260923064135-9826d0e27894
2026-09-26T07:19:35.754733Z,github.com/MahoCommerce/maho,v0.0.0-20260924225722-004eebdf8b5f
2026-09-26T07:19:36.992665Z,github.com/ClusterLabs/ha_cluster_exporter,v0.0.0-20200203145122-960e4dffbd12
2026-09-26T07:19:37.114316Z,github.com/Maistra/istio,v0.0.0-20240522163443-a2c5888afe6e
2026-09-26T07:19:41.676839Z,github.com/MaksimVF/ZB/services/secrets-service,v0.0.0-20251209124631-7a60016fdbd7
2026-09-26T07:19:43.967378Z,github.com/DeedleFake/go-PhysicsFs,v0.9.3
2026-09-26T07:19:45.165507Z,github.com/MaksKazantsev/gorouter,v0.0.0-20240522183619-464d868b5cdf
2026-09-26T07:19:45.452606Z,github.com/Maksym-Perehinets/yet-another-ttrpg-calendar-backend,v0.0.0-20241125121709-b33bdf06509f
2026-09-26T07:19:45.649977Z,github.com/dokku/dokku/plugins/docker-options,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:19:45.943056Z,github.com/kybernetwork/tradinglib,v0.0.0-20260925041927-d075ceec4059
2026-09-26T07:19:52.725529Z,github.com/lintang-b-s/navigatorx,v0.1.3-0.20260918095539-eb538790c75c
2026-09-26T07:19:53.340992Z,go.octolab.org/toolset/maintainer,v0.1.0
2026-09-26T07:19:55.458382Z,github.com/managedcode/Storage,v10.0.11+incompatible
2026-09-26T07:19:55.867286Z,github.com/ManageIQ/manageiq-providers-amazon,v0.0.0-20170311010624-991b55041da3
2026-09-26T07:19:55.96313Z,github.com/dokku/dokku/plugins/storage,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:19:56.196483Z,github.com/dokku/dokku/plugins/common,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:19:58.239102Z,github.com/clubpay/ronykit/example/ex-03-cluster,v0.0.0-20260925185017-4939d129403f
2026-09-26T07:19:59.568067Z,github.com/ManageIQ/manageiq-providers-azure,v0.0.0-20170307150027-a47e46944e34
2026-09-26T07:19:59.870129Z,github.com/ManageIQ/manageiq-providers-vmware,v0.0.0-20170310210403-b64241212172
2026-09-26T07:20:00.897255Z,github.com/Michaelmure/go-term-text,v0.2.0
2026-09-26T07:20:01.282476Z,github.com/ManageIQ/foreman_api_client,v0.0.0-20160718191652-040ac28035fb
2026-09-26T07:20:03.859388Z,github.com/ManageIQ/rubywbem,v0.0.0-20141210205027-aeaad0ca8b34
2026-09-26T07:20:05.572195Z,github.com/m1kkY8/lockbox,v1.4.3-0.20250810122627-2a35c661270e
2026-09-26T07:20:06.906267Z,github.com/leaflowapis/leaflow-go/billing/project,v0.1.1-0.20260926071338-e3d9f0f852d2
2026-09-26T07:20:07.003024Z,github.com/cuckoo-network/cuckoo,v0.0.0-20260926071740-80b423bc69c2
2026-09-26T07:20:09.656715Z,github.com/mandulaj/PZEM-004T-v30,v1.1.1
2026-09-26T07:20:12.69223Z,github.com/skytruth/shared-datasets-1,v0.0.0-20260924023022-da2f61b28d5d
2026-09-26T07:20:18.213707Z,github.com/senergy-platform/connection-log,v1.0.0
2026-09-26T07:20:20.1586Z,github.com/JoakimCarlsson/ai/stt,v0.3.2-0.20260923042147-e34befe5fa44
2026-09-26T07:20:20.359746Z,github.com/dyweb/gommon,v0.0.0-20170320162705-8961c8f9ad99
2026-09-26T07:20:20.442714Z,github.com/manimovassagh/Sgeht,v1.0.3-0.20220902200833-98226b69e8ad
2026-09-26T07:20:20.842064Z,github.com/e2b-dev/infra/packages/nomad-nodepool-apm,v0.0.0-20260925234545-8d18e10204b3
2026-09-26T07:20:22.04905Z,github.com/cimuyang/outline-mindmap,v0.0.0-20260923065344-bdd663dd2359
2026-09-26T07:20:24.784389Z,github.com/MantisSTS/Tools,v0.0.0-20250822090227-ce9f433e4d14
2026-09-26T07:20:25.720818Z,github.com/MANTRA-Chain/mantrachain,v0.0.0-20240927103454-7b7b4208ac23
2026-09-26T07:20:26.185739Z,github.com/dokku/dokku/plugins/resource,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:20:26.689707Z,github.com/trogonstack/golangci-lint-plugins,v0.1.0
2026-09-26T07:20:26.716407Z,github.com/dreego-stack/dreego/cmd/dreego,v0.10.9
2026-09-26T07:20:28.587405Z,github.com/manuelarte/GoTime,v0.0.0-20241205223338-b7074f1f4334
2026-09-26T07:20:28.851605Z,github.com/NordSecurity/libtelio-go/v8,v8.0.0-dev-2609250741-bbb732e
2026-09-26T07:20:32.689373Z,github.com/leaflowapis/leaflow-go/billing/catalog,v0.1.1-0.20260926071338-e3d9f0f852d2
2026-09-26T07:20:35.032117Z,github.com/MapsterMapper/Mapster,v10.0.13+incompatible
2026-09-26T07:20:35.218346Z,github.com/ManageIQ/manageiq-gems-pending,v0.0.0-20170310153626-1b47cc7f7a6c
2026-09-26T07:20:35.696699Z,github.com/charlienet/gadget/logger,v0.7.0
2026-09-26T07:20:37.313946Z,github.com/dokku/dokku/plugins/apps,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:20:38.90321Z,github.com/xiaoshicae/xone,v1.10.0
2026-09-26T07:20:40.396539Z,github.com/Marciokp/ckeditor5-build-decoupled-document,v11.0.0+incompatible
2026-09-26T07:20:41.203104Z,github.com/cinderella-project/imast,v0.0.0-20260925172027-fe2a16138523
2026-09-26T07:20:46.012202Z,github.com/dokku/dokku/plugins/scheduler-k3s,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:20:47.877628Z,github.com/Luo-root/Pulse,v0.2.6-0.20260923143931-7db81342bc3a
2026-09-26T07:20:49.595401Z,github.com/xiaoshicae/xone/xcache,v1.10.0
2026-09-26T07:20:51.143492Z,github.com/kubewarden/sbomscanner,v0.13.1-0.20260925073037-414e59d1c49c
2026-09-26T07:20:54.935842Z,github.com/absolute8511/gorocksdb,v0.0.0-20170107134144-cf572022d25a
2026-09-26T07:20:55.515206Z,github.com/marecl/HPDL1414,v1.0.1
2026-09-26T07:20:58.306256Z,github.com/JoakimCarlsson/ai/llm,v0.6.4-0.20260923042147-e34befe5fa44
2026-09-26T07:20:59.09286Z,github.com/xiaoshicae/xone/xmetric,v1.10.0
2026-09-26T07:21:05.174074Z,github.com/alphagov/govuk-docker,v0.0.0-20260925120836-b211c57ebc93
2026-09-26T07:21:05.96275Z,github.com/MarkBaker/PHPMatrix,v3.0.0-20221202221743-728434227fe2+incompatible
2026-09-26T07:21:05.985362Z,github.com/dokku/dokku/plugins/buildpacks,v0.0.0-20260926070911-5ab0d3c67d8f
2026-09-26T07:21:06.419154Z,github.com/MarkBaker/PHPComplex,v3.0.0-20221206162108-95c56caa1cf5+incompatible
2026-09-26T07:21:07.58991Z,github.com/ddnet/ddnet,v0.0.0-20260926062417-3eee71082712
2026-09-26T07:21:08.895634Z,github.com/Lakr233/vphone-cli,v0.0.0-20260925124512-9d218dedf58d
2026-09-26T07:21:10.724542Z,github.com/L1ndenbaum/stellarmesh-sdk/sdk/go/gateway,v0.5.1
2026-09-26T07:21:10.80465Z,github.com/mvanhorn/printing-press-library/library/other/zimmo,v0.0.0-20260925085335-9716115f7976
2026-09-26T07:21:16.872826Z,github.com/MadAppGang/claudish,v10.3.1-0.20260926003641-92c0dcf6e95c+incompatible
2026-09-26T07:21:17.513337Z,github.com/xiaoshicae/xone/xgin,v1.10.0
2026-09-26T07:21:18.470428Z,github.com/markjaquith/WordPress,v0.0.0-20221017201510-c1beb8d2b85c
2026-09-26T07:21:21.780925Z,github.com/cin/mr-cassop/prober,v0.0.0-20260924040634-996c530d8d6d
2026-09-26T07:21:24.823655Z,github.com/MarkusEh/vdr-plugin-live,v3.5.3-0.20251027193259-7c5a4a8bdd60+incompatible
2026-09-26T07:21:29.305818Z,github.com/xiaoshicae/xone/xtrace,v1.10.0
2026-09-26T07:21:33.847611Z,github.com/MarkUsProject/MarkUs,v0.0.0-20090831163314-8122d567187e
2026-09-26T07:21:34.909371Z,github.com/openpcc/ohttp,v0.0.0-20251211195251-79bec89d8042
2026-09-26T07:21:39.413762Z,github.com/JoakimCarlsson/ai/embeddings,v0.3.2-0.20260923042147-e34befe5fa44
2026-09-26T07:21:43.972798Z,github.com/patrickchugh/terravision,v0.48.3-0.20260925202228-c337c24329d5
2026-09-26T07:21:44.566149Z,github.com/xiaoshicae/xone/xginswagger,v1.10.0
2026-09-26T07:21:45.71553Z,github.com/PeSt-paRSEr/PEST,v0.2.2
2026-09-26T07:21:45.787169Z,github.com/pest-PARseR/pest,v2.5.3+incompatible
2026-09-26T07:21:47.841141Z,github.com/Pest-PARser/Pest,v1.0.2
2026-09-26T07:21:48.162387Z,github.com/PeSt-paRSEr/PeSt,v0.2.2
2026-09-26T07:21:56.849273Z,github.com/xiaoshicae/xone/xgorm/clickhouse,v1.10.0
2026-09-26T07:21:56.852986Z,github.com/xiaoshicae/xone/xgorm,v1.10.0
2026-09-26T07:22:00.083448Z,github.com/lindell/multi-gitter,v0.63.2-0.20260925144743-b57d63b3c513
2026-09-26T07:22:05.107117Z,github.com/PEST-PARSER/PeSt,v2.2.1+incompatible
2026-09-26T07:22:06.049555Z,github.com/cfmleditor/cfmleditor-lsp,v0.3.7
2026-09-26T07:22:06.488592Z,github.com/pEst-parser/peSt,v0.3.2
2026-09-26T07:22:10.668129Z,github.com/PEsT-Parser/peST,v0.2.7
2026-09-26T07:22:13.031314Z,github.com/cipherstash/vitaminc/bindings/go/vcffi,v0.0.0-20260925185039-367bf1578f62
2026-09-26T07:22:13.393817Z,github.com/cipherstash/vitaminc/bindings/go/vcvalue,v0.0.0-20260925185039-367bf1578f62
2026-09-26T07:22:13.485801Z,github.com/nepeat/config,v0.0.0-20230527232520-db66104f4333
2026-09-26T07:22:14.058772Z,github.com/Hashicorp/consul-k8s,v1.0.1-0.20260924155431-7b8d3f2fb9a2
2026-09-26T07:22:14.398381Z,github.com/pest-parSer/peSt,v2.1.1-pest+incompatible
2026-09-26T07:22:14.479781Z,github.com/pesT-parSER/pest,v0.3.2
2026-09-26T07:22:14.956935Z,github.com/cipherstash/vitaminc,v0.0.0-20260925185039-367bf1578f62
2026-09-26T07:22:16.889579Z,github.com/xiaoshicae/xone/xhttp,v1.10.0
2026-09-26T07:22:17.561816Z,github.com/peSt-PArser/peST,v2.0.3-meta+incompatible
2026-09-26T07:22:17.882294Z,github.com/pest-paRSEr/pesT,v0.2.9
2026-09-26T07:22:19.817782Z,github.com/lizongying/nolang,v0.3.7
2026-09-26T07:22:24.03115Z,github.com/MaksimVF/ZB,v0.0.0-20260104040127-5084f7676ca2
2026-09-26T07:22:32.064318Z,github.com/cin/mr-cassop,v0.0.0-20260924040634-996c530d8d6d
2026-09-26T07:22:34.761267Z,github.com/BabiesIQ/_metaAPI/sdk/go,v0.0.0-20260926024929-2b246ea0cb64
2026-09-26T07:22:35.95633Z,github.com/xiaoshicae/xone/xredis,v1.10.0
2026-09-26T07:22:39.451209Z,github.com/exphp/data,v0.0.0-20150905181344-8e1b75f23b85
2026-09-26T07:22:47.113939Z,github.com/MarlonJD/app-store-server-library-go,v0.1.1-0.20260504195622-a19522669d71
2026-09-26T07:22:47.997598Z,github.com/go-tex/math,v0.33.0
2026-09-26T07:22:48.7829Z,github.com/MaroonedSoftware/contractkit,v0.0.0-20260805123226-262fb1bf7c56
2026-09-26T07:22:57.238664Z,github.com/mvanhorn/printing-press-library/library/other/immoweb,v0.0.0-20260917090804-3846f42b7ce2
2026-09-26T07:22:59.00928Z,github.com/Master290/internetometer-cli,v0.0.0-20260224163806-f3ee23acdea9
2026-09-26T07:22:59.505051Z,github.com/Masterminds/html5-php,v2.0.0-20260818061841-a1e7a2f88ee1+incompatible
2026-09-26T07:23:05.26367Z,github.com/MatanMagen/XML-to-PostgreSQL-Parser,v0.0.0-20240520113803-d42f1fb6da94
2026-09-26T07:23:05.490682Z,github.com/larsartmann/go-branded-id,v0.6.1-0.20260922205055-aa95d3493d0b
2026-09-26T07:23:05.68369Z,github.com/MaterializeInc/cloud-sdks,v0.0.0-20210805182504-92ce0f90ea94
2026-09-26T07:23:15.674637Z,github.com/BabiesIQ/_metaAPI,v0.0.0-20260926024929-2b246ea0cb64
2026-09-26T07:23:20.990305Z,github.com/go-diskimages/dmg,v0.2.0
2026-09-26T07:23:22.126978Z,github.com/l1ndenbaum/stellarmesh-sdk/sdk/go/gateway,v0.5.1
2026-09-26T07:23:27.733293Z,github.com/neutree-ai/neutree,v1.2.1-nightly-20260926
2026-09-26T07:23:32.39155Z,github.com/livechat/lc-sdk-go/v7,v7.0.0-20260925101824-37ebfffff142
